build_id,as_of_date,category_name,units,orders,customers,merchandise_gmv_brl,avg_item_value_brl,avg_review_score,coverage_status
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,fashio_female_clothing,45,36,36,2634.94,58.55422222222222,3.933333333333333,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,arts_and_craftmanship,24,23,21,1814.01,75.58375,4.125,SUPPRESSED
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,fashion_childrens_clothes,7,7,7,519.95,74.27857142857142,5.0,SUPPRESSED
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,security_and_services,2,2,2,283.29,141.645,2.5,SUPPRESSED
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,computers_accessories,7644,6530,6405,888724.61,116.26433935112506,3.986461619348055,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,toys,4030,3804,3763,471286.48,116.94453598014888,4.208927231807952,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,construction_tools_construction,916,736,732,142108.49,155.14027292576418,4.090010976948409,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,luggage_accessories,1077,1019,1013,138701.63,128.78517177344474,4.352283317800559,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,books_technical,263,256,255,18702.23,71.11114068441064,4.3893129770992365,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,market_place,305,274,273,27795.77,91.13367213114753,4.072607260726072,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,industry_commerce_and_business,265,232,230,38498.81,145.27852830188678,4.125954198473282,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,furniture_bedroom,103,90,86,19051.8,184.96893203883496,4.252427184466019,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,art,197,195,195,23657.3,120.08781725888325,4.082051282051282,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,fashion_male_clothing,125,106,104,10452.33,83.61864,3.7580645161290325,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,food_drink,269,221,219,14942.88,55.549739776951675,4.366171003717472,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,tablets_printing_image,83,79,79,7528.41,90.70373493975903,4.1234567901234565,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,la_cuisine,14,13,13,2054.99,146.785,4.0,SUPPRESSED
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,home_comfort_2,30,24,23,760.27,25.342333333333332,3.6296296296296298,SUPPRESSED
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,signaling_and_security,197,138,137,21315.05,108.19822335025381,4.091836734693878,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,books_imported,57,50,49,4418.86,77.52385964912281,4.508771929824562,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,perfumery,3340,3086,3050,390144.65,116.80977544910179,4.219735656353259,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,furniture_decor,8160,6307,6178,711927.69,87.24604044117648,3.9537747524752476,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,office_furniture,1668,1254,1245,268154.31,160.7639748201439,3.5133010882708584,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,health_beauty,9465,8647,8498,1233131.72,130.28333016376124,4.189729135644899,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,electronics,2729,2517,2507,155043.93,56.81345914254305,4.067158671586716,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,baby,2982,2809,2783,400421.84,134.27962441314554,4.0782358905035485,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,air_conditioning,289,246,244,53323.56,184.5105882352941,4.052816901408451,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,fashion_underwear_beach,127,117,117,9305.95,73.2751968503937,4.0476190476190474,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,fashion_bags_accessories,1985,1820,1757,149329.39,75.22891183879094,4.1936708860759495,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,musical_instruments,651,611,607,184315.74,283.12709677419355,4.221705426356589,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,construction_tools_lights,301,242,242,39957.0,132.74750830564784,4.082191780821918,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,costruction_tools_garden,232,190,187,25096.28,108.17362068965517,4.116379310344827,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,cds_dvds_musicals,14,12,12,730.0,52.142857142857146,4.642857142857143,SUPPRESSED
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,audio,362,348,347,50570.6,139.69779005524862,3.8365921787709496,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,christmas_supplies,150,125,125,8737.84,58.252266666666664,4.06993006993007,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,computers,199,177,176,218684.14,1098.9152763819095,4.219387755102041,PUBLISHABLE
